dataset,model,horizon_len,origin,mse_scaled,mae_scaled,dtw_scaled,tdi_scaled,total_variation_ratio,total_variation_ratio_error,high_frequency_energy_ratio,high_frequency_energy_ratio_error,target_col,input_mode,protocol,fig_path,experiment,main_seq_len
ETTm2,TimesFM,96,48384,0.026640713037783963,0.14105372953539094,0.05441613870345994,0.03733357477924945,0.7699990629727909,0.26136596806657264,0.22219177530085202,1.5042143723031591,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,DLinear,96,48384,0.04614150104646068,0.19331654121450645,0.10057672117545216,0.13521724849849848,4.375780802961832,1.476084975419561,1.1149062154212117,0.10877029861400139,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,PatchTST,96,48384,0.053398258994248875,0.18656754553174268,0.11243729398528197,0.029575892857142856,1.5002292784580746,0.40561795539847184,0.44183956155934995,0.8168084230634259,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,TimeMixer,96,48384,0.05735963421029731,0.1938902998384665,0.1233250095126727,0.023421518357019812,2.019903896713458,0.7030499393476489,0.6044467884579465,0.5034416219683195,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,iTransformer,96,48384,0.08505952864934135,0.2619645218372982,0.15479234390216862,0.04733358044403893,1.8223868380059018,0.6001470968310855,0.49862013455535464,0.6959107064718552,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,Chronos-2,96,50688,0.05651344734699167,0.20268993095184365,0.09375847683107252,0.007583776728617107,0.5759483390992862,0.5517372940096213,0.5364231406575886,0.6228319691890437,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,TimesFM,96,50688,0.06096784680018097,0.1976081351749599,0.11375054159692226,0.0035434557888040716,0.5284002148071866,0.6379012808851803,0.45934596058592553,0.7779516042941546,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,DLinear,96,50688,0.06946844845837247,0.22046260034850237,0.09296765323471258,0.00828079312865497,1.2705352410252801,0.2394382691824543,1.0241753959853581,0.02388780685559475,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,PatchTST,96,50688,0.03720120568827629,0.1596287521668377,0.07807676374732962,0.002303494751908397,0.7190365787296373,0.3298430341975316,0.5980404445208479,0.5140968776192284,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,TimeMixer,96,50688,0.08631782844163342,0.23522348267316362,0.08675685749499164,0.008035896650326798,1.2961966524843127,0.2594343321619305,1.0565674212232812,0.05502538114209571,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,iTransformer,96,50688,0.11972147646687696,0.2997341129505852,0.171105754153693,0.004491856181085666,0.7404094697683498,0.30055189478784206,0.6427846225171825,0.4419455525029058,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,Chronos-2,96,52896,0.1261028318050003,0.3276503272354603,0.14266512742856655,0.18397815569952575,0.43401009869097207,0.8346874532383024,0.34051596654890764,1.077293233644838,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,TimesFM,96,52896,0.3101735185220821,0.49674601790805656,0.40331791033004893,0.007269965277777778,0.5478201494214603,0.6018082221339386,0.35084277026764754,1.0474170753275522,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,DLinear,96,52896,0.4104451805684888,0.5678241991305587,0.4540495616727157,0.007801371082621082,2.9231961138358167,1.0726775806403896,1.6962766318075788,0.5284356383413612,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,PatchTST,96,52896,0.43592955934251676,0.5864647643023718,0.47221600592423413,0.008751038698955365,1.4133966162813005,0.3459957623192426,0.7871229017676025,0.23937086516375597,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,TimeMixer,96,52896,0.4278907015356208,0.5911496895108798,0.4767893815412507,0.006028683249521073,2.280318083326881,0.8243149478521432,1.3038829557090057,0.2653467092535137,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,iTransformer,96,52896,0.43872619415325076,0.5573469464840893,0.500792243166877,0.0007503357573375262,1.829285196421402,0.6039252929662902,1.1052515905586184,0.100073001864871,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,Chronos-2,96,55200,0.018529303757158555,0.09042429799834888,0.05503111041110495,0.0243031967089372,0.26954878634760165,1.311005842508632,0.2411954149184047,1.4221477823089819,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,TimesFM,96,55200,0.02376919793549659,0.10831709826985995,0.059147111007145474,0.1519421333874459,0.15294122911217164,1.8777014894492798,0.12008576185273115,2.1195490260838246,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm2,DLinear,96,55200,0.05433748206707557,0.1875327252968814,0.09072813434069876,0.08696189121893275,3.521932924705127,1.2590099680713445,1.6924144445248832,0.5261561806715965,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
