dataset,model,horizon_len,origin,mse_scaled,mae_scaled,dtw_scaled,tdi_scaled,total_variation_ratio,total_variation_ratio_error,high_frequency_energy_ratio,high_frequency_energy_ratio_error,target_col,input_mode,protocol,fig_path,experiment,lookback_seq_len
ETTm1,iTransformer_L336,720,54000,0.04132170544467913,0.17582574497041353,0.09339926554835808,0.016078573388203017,0.3015972915680608,1.1986625899438625,0.3796308428033957,0.9685559384064018,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
ETTm1,DLinear_L720,720,54000,0.08630219832999377,0.2701069264481027,0.13950097186466806,0.06341146377227791,1.3258332094308014,0.28204110665154797,0.4915896978665362,0.7101108375010045,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
ETTm1,PatchTST_L720,720,54000,0.09463481963779752,0.2792213054111577,0.11052826553559808,0.042586902265216574,0.8636351045305878,0.1466049205259249,0.5391193995378979,0.6178181935779368,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
ETTm1,iTransformer_L720,720,54000,0.07687168154640475,0.2528937985965496,0.1423015030517681,0.06749736374549462,0.2675386524434247,1.3184911905911072,0.32233780874289225,1.132155156855636,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
ETTm1,DLinear_L336,720,56880,0.03309421810225695,0.14663152101954727,0.07687419240065388,0.005116047668038409,1.4970601225965772,0.4035032733659377,0.4538722531040053,0.7899394793313531,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
ETTm1,PatchTST_L336,720,56880,0.02815639973985827,0.1370231631816896,0.0782276489180741,0.003542685337225567,0.7340660966899779,0.30915619081278073,0.32631653593415866,1.1198873689327566,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
ETTm1,iTransformer_L336,720,56880,0.036466847149879,0.15779686822609365,0.09472698209054853,0.003917432358923419,0.31650742673714,1.1504085408741413,0.192852067390189,1.6458318223341217,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
ETTm1,DLinear_L720,720,56880,0.030913534598025993,0.13722198097819596,0.06008083477154655,0.003935730020733202,1.3095518406351816,0.2696849799321635,0.4390315897473558,0.823183887296222,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
ETTm1,PatchTST_L720,720,56880,0.03626524141215617,0.14187433004270372,0.05985933938249707,0.0038091428059545914,0.8110655956822328,0.20940633333923128,0.3592967496651912,1.023606603369261,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
ETTm1,iTransformer_L720,720,56880,0.033938957623529734,0.1511963856628407,0.09896344361888222,0.005874960804928434,0.26065418396186296,1.3445606775009127,0.2290297333140879,1.4739034003943918,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
Weather,DLinear_L336,720,42063,0.0015330836421404966,0.03225848362391034,0.014223788532172729,0.0020495440572256213,1.3152372116549822,0.27401704605600447,0.2511592388043073,1.381668083645673,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
Weather,PatchTST_L336,720,42063,0.0012010939664165784,0.02864573855535197,0.010798077224917832,0.008823167778867685,0.8631583291710714,0.14715712944310583,0.4220656444250825,0.8625943978409583,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
Weather,iTransformer_L336,720,42063,0.0010609163879197355,0.026775464617736895,0.020353696607013656,0.0009634738905572238,0.38201406987350683,0.962297812747203,0.056354466529248075,2.8760936001388298,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
Weather,DLinear_L720,720,42063,0.0016731455028713544,0.034454308894020555,0.017430829666673153,0.0013532283653065861,1.0676899722273991,0.06549741958565672,0.22305010629233915,1.500358796034589,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
Weather,PatchTST_L720,720,42063,0.001160096253536547,0.028068181683284246,0.011093858942765364,0.014241245936336761,1.369801110354043,0.31466556167740795,0.40564463389721483,0.9022777639821719,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
Weather,iTransformer_L720,720,42063,0.0012508939234897622,0.028929562393674862,0.025072082069276174,0.00014643719806763287,0.17869581064418524,1.722070244643772,0.02652936376412708,3.6295027159310234,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
Weather,DLinear_L336,720,44223,0.003639400767412667,0.04664735317843297,0.02765926012533045,0.0023617154647057504,1.158362006622966,0.1470069525942597,0.1819144164710949,1.7042188867013581,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
Weather,PatchTST_L336,720,44223,0.0033774506170097165,0.04462006789797506,0.02700348886525182,0.07166197599864123,0.20517527164055305,1.5838906327827513,0.05803591158426218,2.8466931224864416,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
Weather,iTransformer_L336,720,44223,0.002692978651134111,0.04097294584615528,0.031745810467320876,0.0015745605389778424,0.2799491482509563,1.2731472699752655,0.045633485262865266,3.08711328686984,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
Weather,DLinear_L720,720,44223,0.004382872956453367,0.05137073930334637,0.03336927859478183,0.00412044147763075,0.9519106716669185,0.049284070370757056,0.16306824750301868,1.813586408142674,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
